epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_loss
0,,311,,,0.77920001745224,0.8663289546966553,0.15013252198696136
0,0.0010000000474974513,311,0.8002804517745972,0.14712759852409363,,,
1,,623,,,0.7771999835968018,0.8704925775527954,0.15444788336753845
1,0.0010000000474974513,623,0.7742387652397156,0.15658186376094818,,,
2,,935,,,0.8755999803543091,0.9475979208946228,0.09699156135320663
2,0.0010000000474974513,935,0.8220152258872986,0.12885454297065735,,,
3,,1247,,,0.8751999735832214,0.9502818584442139,0.09364502131938934
3,0.0010000000474974513,1247,0.8647836446762085,0.10800155997276306,,,
4,,1559,,,0.9287999868392944,0.982669472694397,0.054773181676864624
4,0.0010000000474974513,1559,0.8927283883094788,0.08889112621545792,,,
5,,1871,,,0.9440000057220459,0.9814510345458984,0.05106799677014351
5,0.0010000000474974513,1871,0.9116586446762085,0.07550936192274094,,,
6,,2183,,,0.9448000192642212,0.989966869354248,0.04397154226899147
6,0.0010000000474974513,2183,0.9393028616905212,0.057208575308322906,,,
7,,2495,,,0.9491999745368958,0.986451268196106,0.04468905180692673
7,0.0010000000474974513,2495,0.9504206776618958,0.04949690029025078,,,
8,,2807,,,0.974399983882904,0.9962581396102905,0.027117835357785225
8,0.0010000000474974513,2807,0.9424078464508057,0.05208493024110794,,,
9,,3119,,,0.9728000164031982,0.9964542984962463,0.024424808099865913
9,0.0010000000474974513,3119,0.9619390964508057,0.040047042071819305,,,
10,,3431,,,0.9620000123977661,0.9907167553901672,0.03311339393258095
10,0.0010000000474974513,3431,0.9614382982254028,0.03832869231700897,,,
11,,3743,,,0.9815999865531921,0.9962055683135986,0.022919705137610435
11,0.0010000000474974513,3743,0.9651442170143127,0.03719254955649376,,,
12,,4055,,,0.9724000096321106,0.9929278492927551,0.03157753869891167
12,0.0010000000474974513,4055,0.9751602411270142,0.028812063857913017,,,
13,,4367,,,0.97079998254776,0.9954758286476135,0.026188787072896957
13,0.0010000000474974513,4367,0.9707531929016113,0.030995497480034828,,,
14,,4679,,,0.9775999784469604,0.9954226016998291,0.021917609497904778
14,0.0010000000474974513,4679,0.97265625,0.027966035529971123,,,
15,,4991,,,0.967199981212616,0.993909478187561,0.026943985372781754
15,0.0010000000474974513,4991,0.9614382982254028,0.03893062099814415,,,
16,,5303,,,0.9735999703407288,0.991690456867218,0.0261163879185915
16,0.0010000000474974513,5303,0.9731570482254028,0.027141470462083817,,,
17,,5615,,,0.9771999716758728,0.9955793619155884,0.022015459835529327
17,0.0010000000474974513,5615,0.9738581776618958,0.028033442795276642,,,
18,,5927,,,0.9860000014305115,0.9965845942497253,0.015453699044883251
18,0.0010000000474974513,5927,0.9807692170143127,0.023224933072924614,,,
19,,6239,,,0.9800000190734863,0.9971376657485962,0.017220981419086456
19,0.0010000000474974513,6239,0.9840745329856873,0.02132604271173477,,,
20,,6551,,,0.9688000082969666,0.9945782423019409,0.024463143199682236
20,0.0010000000474974513,6551,0.9820713400840759,0.02078150026500225,,,
21,,6863,,,0.980400025844574,0.9973620176315308,0.015903647989034653
21,0.0010000000474974513,6863,0.9806690812110901,0.02163989283144474,,,
22,,7175,,,0.9739999771118164,0.9936637282371521,0.022270072251558304
22,0.0010000000474974513,7175,0.9857772588729858,0.017459793016314507,,,
23,,7487,,,0.9851999878883362,0.9982970952987671,0.013019091449677944
23,0.0005000000237487257,7487,0.9826722741127014,0.018298624083399773,,,
24,,7799,,,0.984000027179718,0.9979963302612305,0.013348120264708996
24,0.0005000000237487257,7799,0.9914863705635071,0.01218322105705738,,,
25,,8111,,,0.9868000149726868,0.998530924320221,0.011480087414383888
25,0.0005000000237487257,8111,0.9892828464508057,0.011828605085611343,,,
26,,8423,,,0.9819999933242798,0.9949444532394409,0.014846192672848701
26,0.0005000000237487257,8423,0.9897836446762085,0.013303319923579693,,,
27,,8735,,,0.9868000149726868,0.9974491596221924,0.012403726577758789
27,0.0005000000237487257,8735,0.9871794581413269,0.014007129706442356,,,
28,,9047,,,0.9843999743461609,0.9963399171829224,0.012803942896425724
28,0.0005000000237487257,9047,0.989182710647583,0.012503432109951973,,,
29,,9359,,,0.9779999852180481,0.9963774681091309,0.01769866608083248
29,0.0005000000237487257,9359,0.9916867017745972,0.010435652919113636,,,
